Expression	Value	Location	Type	
Xnormal	Error (col 1): Unknown or ambiguous symbol. Xnormal			
ADC_buffer1	<array>	0x20000000	uint16_t[3000]	
[348]	108	0x200002B8	uint16_t	
[349]	135	0x200002BA	uint16_t	
[350]	108	0x200002BC	uint16_t	
[351]	134	0x200002BE	uint16_t	
[352]	104	0x200002C0	uint16_t	
[353]	119	0x200002C2	uint16_t	
[354]	164	0x200002C4	uint16_t	
[355]	138	0x200002C6	uint16_t	
[356]	96	0x200002C8	uint16_t	
[357]	107	0x200002CA	uint16_t	
[358]	130	0x200002CC	uint16_t	
[359]	84	0x200002CE	uint16_t	
[360]	99	0x200002D0	uint16_t	
[361]	119	0x200002D2	uint16_t	
[362]	164	0x200002D4	uint16_t	
[363]	139	0x200002D6	uint16_t	
[364]	99	0x200002D8	uint16_t	
[365]	119	0x200002DA	uint16_t	
[366]	164	0x200002DC	uint16_t	
[367]	139	0x200002DE	uint16_t	
[368]	99	0x200002E0	uint16_t	
[369]	119	0x200002E2	uint16_t	
[370]	165	0x200002E4	uint16_t	
[371]	145	0x200002E6	uint16_t	
[372]	104	0x200002E8	uint16_t	
[373]	118	0x200002EA	uint16_t	
[374]	160	0x200002EC	uint16_t	
[375]	123	0x200002EE	uint16_t	
[376]	155	0x200002F0	uint16_t	
[377]	122	0x200002F2	uint16_t	
[378]	150	0x200002F4	uint16_t	
[379]	128	0x200002F6	uint16_t	
[380]	77	0x200002F8	uint16_t	
[381]	94	0x200002FA	uint16_t	
[382]	124	0x200002FC	uint16_t	
[383]	157	0x200002FE	uint16_t	
[384]	134	0x20000300	uint16_t	
[385]	104	0x20000302	uint16_t	
[386]	119	0x20000304	uint16_t	
[387]	164	0x20000306	uint16_t	
[388]	138	0x20000308	uint16_t	
[389]	95	0x2000030A	uint16_t	
[390]	128	0x2000030C	uint16_t	
[391]	77	0x2000030E	uint16_t	
[392]	94	0x20000310	uint16_t	
[393]	123	0x20000312	uint16_t	
[394]	155	0x20000314	uint16_t	
[395]	123	0x20000316	uint16_t	
[396]	156	0x20000318	uint16_t	
[397]	126	0x2000031A	uint16_t	
[398]	172	0x2000031C	uint16_t	
[399]	150	0x2000031E	uint16_t	
[400]	128	0x20000320	uint16_t	
[401]	76	0x20000322	uint16_t	
[402]	88	0x20000324	uint16_t	
[403]	94	0x20000326	uint16_t	
[404]	123	0x20000328	uint16_t	
[405]	156	0x2000032A	uint16_t	
[406]	128	0x2000032C	uint16_t	
[407]	76	0x2000032E	uint16_t	
[408]	87	0x20000330	uint16_t	
[409]	116	0x20000332	uint16_t	
[410]	147	0x20000334	uint16_t	
[411]	110	0x20000336	uint16_t	
[412]	149	0x20000338	uint16_t	
[413]	121	0x2000033A	uint16_t	
[414]	147	0x2000033C	uint16_t	
[415]	112	0x2000033E	uint16_t	
[416]	132	0x20000340	uint16_t	
[417]	91	0x20000342	uint16_t	
[418]	108	0x20000344	uint16_t	
[419]	134	0x20000346	uint16_t	
[420]	104	0x20000348	uint16_t	
[421]	118	0x2000034A	uint16_t	
[422]	160	0x2000034C	uint16_t	
[423]	123	0x2000034E	uint16_t	
[424]	155	0x20000350	uint16_t	
[425]	123	0x20000352	uint16_t	
[426]	155	0x20000354	uint16_t	
[427]	123	0x20000356	uint16_t	
