Expression	Value	Location	Type	
sinus	Error (col 1): Unknown or ambiguous symbol. sinus			
GPIOB_DATA	Error (col 1): Unknown or ambiguous symbol. GPIOB_DATA			
DATA	Error (col 1): Unknown or ambiguous symbol. DATA			
tempc	Error (col 1): Unknown or ambiguous symbol. tempc			
adc_buffer	<array>	0x20000000	uint16_t[3000]	
[414]	1254	0x2000033C	uint16_t	
[415]	1251	0x2000033E	uint16_t	
[416]	1248	0x20000340	uint16_t	
[417]	1243	0x20000342	uint16_t	
[418]	1241	0x20000344	uint16_t	
[419]	1245	0x20000346	uint16_t	
[420]	1250	0x20000348	uint16_t	
[421]	1260	0x2000034A	uint16_t	
[422]	1255	0x2000034C	uint16_t	
[423]	1250	0x2000034E	uint16_t	
[424]	1253	0x20000350	uint16_t	
[425]	1247	0x20000352	uint16_t	
[426]	1227	0x20000354	uint16_t	
[427]	1225	0x20000356	uint16_t	
[428]	1243	0x20000358	uint16_t	
[429]	1260	0x2000035A	uint16_t	
[430]	1277	0x2000035C	uint16_t	
[431]	1270	0x2000035E	uint16_t	
[432]	1260	0x20000360	uint16_t	
[433]	1238	0x20000362	uint16_t	
[434]	1220	0x20000364	uint16_t	
[435]	1237	0x20000366	uint16_t	
[436]	1255	0x20000368	uint16_t	
[437]	1275	0x2000036A	uint16_t	
[438]	1290	0x2000036C	uint16_t	
[439]	1285	0x2000036E	uint16_t	
[440]	1249	0x20000370	uint16_t	
[441]	1178	0x20000372	uint16_t	
[442]	1199	0x20000374	uint16_t	
[443]	1224	0x20000376	uint16_t	
[444]	1264	0x20000378	uint16_t	
[445]	1291	0x2000037A	uint16_t	
[446]	1292	0x2000037C	uint16_t	
[447]	1254	0x2000037E	uint16_t	
[448]	1217	0x20000380	uint16_t	
[449]	1206	0x20000382	uint16_t	
[450]	1208	0x20000384	uint16_t	
[451]	1241	0x20000386	uint16_t	
[452]	1292	0x20000388	uint16_t	
[453]	1308	0x2000038A	uint16_t	
[454]	1283	0x2000038C	uint16_t	
[455]	1243	0x2000038E	uint16_t	
[456]	1204	0x20000390	uint16_t	
[457]	1201	0x20000392	uint16_t	
[458]	1233	0x20000394	uint16_t	
[459]	1260	0x20000396	uint16_t	
[460]	1293	0x20000398	uint16_t	
[461]	1292	0x2000039A	uint16_t	
[462]	1263	0x2000039C	uint16_t	
[463]	1236	0x2000039E	uint16_t	
[464]	1216	0x200003A0	uint16_t	
[465]	1222	0x200003A2	uint16_t	
[466]	1253	0x200003A4	uint16_t	
[467]	1289	0x200003A6	uint16_t	
[468]	1286	0x200003A8	uint16_t	
[469]	1266	0x200003AA	uint16_t	
[470]	1254	0x200003AC	uint16_t	
[471]	1232	0x200003AE	uint16_t	
[472]	1213	0x200003B0	uint16_t	
[473]	1241	0x200003B2	uint16_t	
[474]	1251	0x200003B4	uint16_t	
[475]	1269	0x200003B6	uint16_t	
[476]	1265	0x200003B8	uint16_t	
[477]	1245	0x200003BA	uint16_t	
[478]	1239	0x200003BC	uint16_t	
[479]	1249	0x200003BE	uint16_t	
[480]	1242	0x200003C0	uint16_t	
[481]	1253	0x200003C2	uint16_t	
