Expression	Value	Location	Type	
sinus	Error (col 1): Unknown or ambiguous symbol. sinus			
GPIOB_DATA	Error (col 1): Unknown or ambiguous symbol. GPIOB_DATA			
DATA	Error (col 1): Unknown or ambiguous symbol. DATA			
tempc	Error (col 1): Unknown or ambiguous symbol. tempc			
adc_buffer	<array>	0x20001000	uint16_t[1024]	
adc_res	Error (col 1): Unknown or ambiguous symbol. adc_res			
NewSample	Error (col 1): Unknown or ambiguous symbol. NewSample			
OUT	<array>	0x20000000	float[1024]	
[329]	1.94561026E+36	0x20000524	float	
[330]	1.8238977433E+36	0x20000528	float	
[331]	1.95992933E+36	0x2000052C	float	
[332]	2.30179837E+36	0x20000530	float	
[333]	2.7098931333E+36	0x20000534	float	
[334]	2.7224225911E+36	0x20000538	float	
[335]	2.3125377522E+36	0x2000053C	float	
[336]	2.2230432044E+36	0x20000540	float	
[337]	1.8722247044E+36	0x20000544	float	
[338]	1.7934696922E+36	0x20000548	float	
[339]	2.00288668E+36	0x2000054C	float	
[340]	2.389503E+36	0x20000550	float	
[341]	2.95331817E+36	0x20000554	float	
[342]	2.6919942233E+36	0x20000558	float	
[343]	2.1192295922E+36	0x2000055C	float	
[344]	2.1013306833E+36	0x20000560	float	
[345]	1.80241914E+36	0x20000564	float	
[346]	1.81315836E+36	0x20000568	float	
[347]	2.12280928E+36	0x2000056C	float	
[348]	2.5291142733E+36	0x20000570	float	
[349]	2.79759775E+36	0x20000574	float	
[350]	2.6615661722E+36	0x20000578	float	
[351]	2.1675565533E+36	0x2000057C	float	
[352]	1.9796181611E+36	0x20000580	float	
[353]	1.76662132E+36	0x20000584	float	
[354]	1.8847540044E+36	0x20000588	float	
[355]	2.2158836722E+36	0x2000058C	float	
[356]	2.66514601E+36	0x20000590	float	
[357]	2.76179994E+36	0x20000594	float	
[358]	2.6382976533E+36	0x20000598	float	
[359]	2.1908252311E+36	0x2000059C	float	
[360]	1.86327525E+36	0x200005A0	float	
[361]	1.74872241E+36	0x200005A4	float	
[362]	1.9706687E+36	0x200005A8	float	
[363]	2.3662343222E+36	0x200005AC	float	
[364]	2.96763724E+36	0x200005B0	float	
[365]	2.73853157E+36	0x200005B4	float	
[366]	2.2463117233E+36	0x200005B8	float	
[367]	2.13533858E+36	0x200005BC	float	
[368]	1.81315836E+36	0x200005C0	float	
[369]	1.8042089111E+36	0x200005C4	float	
[370]	2.0959610733E+36	0x200005C8	float	
[371]	2.5147952E+36	0x200005CC	float	
[372]	2.81370674E+36	0x200005D0	float	
[373]	2.6794650811E+36	0x200005D4	float	
[374]	2.1603970211E+36	0x200005D8	float	
[375]	1.97603831E+36	0x200005DC	float	
[376]	1.7827303144E+36	0x200005E0	float	
[377]	1.8775944722E+36	0x200005E4	float	
[378]	2.22483312E+36	0x200005E8	float	
[379]	2.6347178E+36	0x200005EC	float	
[380]	2.7421111E+36	0x200005F0	float	
[381]	2.53269411E+36	0x200005F4	float	
[382]	2.25526117E+36	0x200005F8	float	
[383]	1.89370346E+36	0x200005FC	float	
[384]	1.8059988333E+36	0x20000600	float	
[385]	1.9796181611E+36	0x20000604	float	
[386]	2.33222642E+36	0x20000608	float	
[387]	2.69378414E+36	0x2000060C	float	
[388]	2.68483485E+36	0x20000610	float	
[389]	2.15860709E+36	0x20000614	float	
[390]	2.1675565533E+36	0x20000618	float	
[391]	1.91518205E+36	0x2000061C	float	
[392]	1.8847540044E+36	0x20000620	float	
[393]	2.0816418511E+36	0x20000624	float	
[394]	2.40740191E+36	0x20000628	float	
[395]	2.7761190033E+36	0x2000062C	float	
[396]	2.60607968E+36	0x20000630	float	
[397]	2.36981416E+36	0x20000634	float	
[398]	2.0655328644E+36	0x20000638	float	
[399]	1.8847540044E+36	0x2000063C	float	
[400]	1.91518205E+36	0x20000640	float	
[401]	2.15144756E+36	0x20000644	float	
[402]	2.4933166122E+36	0x20000648	float	
[403]	2.8477146411E+36	0x2000064C	float	
[404]	2.39487261E+36	0x20000650	float	
[405]	2.3537051811E+36	0x20000654	float	
[406]	2.0225755122E+36	0x20000658	float	
[407]	1.9008629911E+36	0x2000065C	float	
[408]	1.9921474611E+36	0x20000660	float	
[409]	2.2570511011E+36	0x20000664	float	
[410]	2.5058457544E+36	0x20000668	float	
[411]	2.83876534E+36	0x2000066C	float	
[412]	2.12638912E+36	0x20000670	float	
[413]	2.26063094E+36	0x20000674	float	
[414]	1.9921474611E+36	0x20000678	float	
[415]	1.93487088E+36	0x2000067C	float	
[416]	2.0762722411E+36	0x20000680	float	
[417]	2.32148705E+36	0x20000684	float	
[418]	2.52732451E+36	0x20000688	float	
[419]	2.58102108E+36	0x2000068C	float	
[420]	2.40561198E+36	0x20000690	float	
[421]	2.1782959311E+36	0x20000694	float	
[422]	1.9993069933E+36	0x20000698	float	
[423]	1.9849877711E+36	0x2000069C	float	
[424]	2.1031206E+36	0x200006A0	float	
[425]	2.3483354133E+36	0x200006A4	float	
[426]	2.5291142733E+36	0x200006A8	float	
[427]	2.5183750544E+36	0x200006AC	float	
[428]	2.35907479E+36	0x200006B0	float	
[429]	2.16397686E+36	0x200006B4	float	
[430]	1.99393722E+36	0x200006B8	float	
[431]	1.9921474611E+36	0x200006BC	float	
[432]	2.14070819E+36	0x200006C0	float	
[433]	2.37160409E+36	0x200006C4	float	
[434]	2.52553458E+36	0x200006C8	float	
[435]	2.4986862222E+36	0x200006CC	float	
[436]	2.33401635E+36	0x200006D0	float	
[437]	2.12638912E+36	0x200006D4	float	
[438]	1.99572714E+36	0x200006D8	float	
[439]	2.0225755122E+36	0x200006DC	float	
[440]	2.19619484E+36	0x200006E0	float	
[441]	2.4288805E+36	0x200006E4	float	
[442]	2.53806372E+36	0x200006E8	float	
[443]	2.5147952E+36	0x200006EC	float	
[444]	2.28568938E+36	0x200006F0	float	
[445]	2.0655328644E+36	0x200006F4	float	
[446]	1.9867776933E+36	0x200006F8	float	
[447]	2.04405426E+36	0x200006FC	float	
[448]	2.24989157E+36	0x20000700	float	
[449]	2.4628884022E+36	0x20000704	float	
[450]	2.5541728733E+36	0x20000708	float	
[451]	2.43604003E+36	0x2000070C	float	
[452]	2.2158836722E+36	0x20000710	float	
[453]	2.01541598E+36	0x20000714	float	
[454]	1.99572714E+36	0x20000718	float	
[455]	2.0762722411E+36	0x2000071C	float	
[456]	2.3125377522E+36	0x20000720	float	
[457]	2.5416435733E+36	0x20000724	float	
[458]	2.56312232E+36	0x20000728	float	
[459]	2.38592315E+36	0x2000072C	float	
[460]	2.1675565533E+36	0x20000730	float	
[461]	1.97603831E+36	0x20000734	float	
[462]	1.99035754E+36	0x20000738	float	
[463]	2.15860709E+36	0x2000073C	float	
[464]	2.38234331E+36	0x20000740	float	
[465]	2.57923131E+36	0x20000744	float	
[466]	2.5058457544E+36	0x20000748	float	
[467]	2.32864674E+36	0x2000074C	float	
[468]	2.08522169E+36	0x20000750	float	
[469]	1.95992933E+36	0x20000754	float	
[470]	2.00109691E+36	0x20000758	float	
[471]	2.19440491E+36	0x2000075C	float	
[472]	2.44856933E+36	0x20000760	float	
[473]	2.56670201E+36	0x20000764	float	
[474]	2.41814113E+36	0x20000768	float	
[475]	2.2230432044E+36	0x2000076C	float	
[476]	2.0386845E+36	0x20000770	float	
[477]	1.97782824E+36	0x20000774	float	
[478]	2.1013306833E+36	0x20000778	float	
[479]	2.33222642E+36	0x2000077C	float	
[480]	2.53090419E+36	0x20000780	float	
[481]	2.5219547411E+36	0x20000784	float	
[482]	2.38055354E+36	0x20000788	float	
[483]	2.16576663E+36	0x2000078C	float	
[484]	2.03689457E+36	0x20000790	float	
[485]	2.00288668E+36	0x20000794	float	
[486]	2.1621869444E+36	0x20000798	float	
[487]	2.37160409E+36	0x2000079C	float	
[488]	2.5165851311E+36	0x200007A0	float	
[489]	2.4628884022E+36	0x200007A4	float	
[490]	2.3053780622E+36	0x200007A8	float	
[491]	2.11028013E+36	0x200007AC	float	
[492]	2.02078559E+36	0x200007B0	float	
[493]	2.07985192E+36	0x200007B4	float	
[494]	2.23020273E+36	0x200007B8	float	
[495]	2.41277152E+36	0x200007BC	float	
[496]	2.47362778E+36	0x200007C0	float	
[497]	2.42351089E+36	0x200007C4	float	
[498]	2.2695802433E+36	0x200007C8	float	
[499]	2.12996897E+36	0x200007CC	float	
[500]	2.0476339544E+36	0x200007D0	float	
[501]	2.1245992022E+36	0x200007D4	float	
[502]	2.26779047E+36	0x200007D8	float	
[503]	2.3966625322E+36	0x200007DC	float	
[504]	2.4378299611E+36	0x200007E0	float	
[505]	2.37339385E+36	0x200007E4	float	
[506]	2.20693421E+36	0x200007E8	float	
[507]	2.0834317733E+36	0x200007EC	float	
[508]	2.0834317733E+36	0x200007F0	float	
[509]	2.176506E+36	0x200007F4	float	
[510]	2.31074783E+36	0x200007F8	float	
[511]	2.4163513644E+36	0x200007FC	float	
[512]	2.4253006611E+36	0x20000800	float	
[513]	2.33401635E+36	0x20000804	float	
[514]	2.2105139044E+36	0x20000808	float	
[515]	2.11207006E+36	0x2000080C	float	
[516]	2.09775083E+36	0x20000810	float	
[517]	2.19440491E+36	0x20000814	float	
[518]	2.3179073622E+36	0x20000818	float	
[519]	2.4288805E+36	0x2000081C	float	
[520]	2.39487261E+36	0x20000820	float	
[521]	2.2964286E+36	0x20000824	float	
[522]	2.176506E+36	0x20000828	float	
[523]	2.09954076E+36	0x2000082C	float	
[524]	2.12280928E+36	0x20000830	float	
[525]	2.21409375E+36	0x20000834	float	
[526]	2.34475572E+36	0x20000838	float	
[527]	2.4145614422E+36	0x2000083C	float	
[528]	2.3787636233E+36	0x20000840	float	
[529]	2.28031962E+36	0x20000844	float	
[530]	2.176506E+36	0x20000848	float	
[531]	2.12817904E+36	0x2000084C	float	
[532]	2.14786788E+36	0x20000850	float	
[533]	2.23557234E+36	0x20000854	float	
[534]	2.3483354133E+36	0x20000858	float	
[535]	2.39845245E+36	0x2000085C	float	
[536]	2.36981416E+36	0x20000860	float	
[537]	2.26063094E+36	0x20000864	float	
[538]	2.16576663E+36	0x20000868	float	
[539]	2.1317587344E+36	0x2000086C	float	
[540]	2.17113639E+36	0x20000870	float	
[541]	2.2767399333E+36	0x20000874	float	
[542]	2.3662343222E+36	0x20000878	float	
[543]	2.41277152E+36	0x2000087C	float	
[544]	2.3554951044E+36	0x20000880	float	
[545]	2.2409421144E+36	0x20000884	float	
[546]	2.1424981111E+36	0x20000888	float	
[547]	2.1067002922E+36	0x2000088C	float	
[548]	2.1675565533E+36	0x20000890	float	
[549]	2.29105899E+36	0x20000894	float	
[550]	2.389503E+36	0x20000898	float	
[551]	2.40024222E+36	0x2000089C	float	
[552]	2.3358062711E+36	0x200008A0	float	
